rs;name;within;home;incoming;outgoing
09471;Bamberg, Landkreis;16640;3780;33990;59570
09472;Bayreuth, Landkreis;13770;3220;18520;39160
09473;Coburg, Landkreis;12630;2460;20500;30790
09474;Forchheim;13650;3780;20550;42860
09475;Hof, Landkreis;17140;2820;25770;28600
09476;Kronach;12490;1960;19500;21390
09477;Kulmbach;13700;2420;18880;22050
09478;Lichtenfels;11960;1910;21130;21410
09479;Wunsiedel i.Fichtelgebirge;15890;2040;18480;18030
09561;Ansbach;13070;830;19070;5920
09562;Erlangen;33310;3370;63250;16900
09563;Fürth;21040;3010;31040;36360
09564;Nürnberg;172410;14300;155170;56390
09565;Schwabach;7870;1130;10140;10500
09571;Ansbach, Landkreis;29290;6510;42560;59990
09572;Erlangen-Höchstadt;16760;4270;36620;48580
09573;Fürth, Landkreis;11170;3850;18470;45700
09574;Nürnberger Land;19940;5180;43400;59990
09575;Neustadt a.d.Aisch-Bad Windsheim;15250;4140;22210;33390
09576;Roth;17780;4910;24990;42970
09577;Weißenburg-Gunzenhausen;16530;3400;20820;27660
09661;Aschaffenburg;18330;2560;33930;14000
09662;Schweinfurt;15820;1950;45160;6370
09663;Würzburg;42100;3320;61570;17380
09671;Aschaffenburg, Landkreis;21030;6070;41000;65910
09672;Bad Kissingen;16930;2760;27590;32470
09673;Rhön-Grabfeld;12330;2110;24720;27400
09674;Haßberge;12450;2860;20700;29450
09675;Kitzingen;14030;3030;25780;29720
09676;Miltenberg;16270;2760;35250;47590
09677;Main-Spessart;17520;7230;33170;42720
09678;Schweinfurt, Landkreis;9980;2930;19500;47410
09679;Würzburg, Landkreis;14220;6140;31900;65490
09761;Augsburg;88920;8020;76290;39880
09762;Kaufbeuren;12270;1000;9170;7120
09763;Kempten (Allgäu);20890;1480;21960;9720
09764;Memmingen;14950;1190;20030;5430
09771;Aichach-Friedberg;16560;5610;25080;46930
09772;Augsburg, Landkreis;27080;7430;56400;90660
09773;Dillingen a.d.Donau;16200;2670;22230;31810
09774;Günzburg;18170;4560;37430;40410
09775;Neu-Ulm;24350;4010;48180;57890
09776;Lindau (Bodensee);16030;3680;19460;21700
09777;Ostallgäu;25390;5880;30060;40800
09778;Unterallgäu;20950;6290;34400;45510
09779;Donau-Ries;22610;4640;44960;40960
09780;Oberallgäu;27820;6770;31630;46880
10041;Regionalverband Saarbrücken;73550;7870;98060;71360
10042;Merzig-Wadern;16940;2960;21500;32160
10043;Neunkirchen;19260;2400;27930;42370
10044;Saarlouis;25060;4680;59200;64200
10045;Saarpfalz-Kreis;27680;3050;45860;39300
10046;St. Wendel;14090;1790;18850;28760
11000;Berlin, Stadt;1321880;110490;282510;141070
12051;Brandenburg an der Havel, Stadt;23470;1580;12380;8840
12052;Cottbus, Stadt;34970;2430;23430;11490
12053;Frankfurt (Oder), Stadt;21060;1160;12880;5930
12054;Potsdam, Stadt;48220;3980;48790;32420
12060;Barnim;25800;4950;33140;59300
12061;Dahme-Spreewald;20640;4970;42380;57560
12062;Elbe-Elster;20560;3160;20850;29330
12063;Havelland;23060;3910;26880;50530
12064;Märkisch-Oderland;24640;5360;36560;66550
12065;Oberhavel;27950;5640;39420;70900
12066;Oberspreewald-Lausitz;21550;2800;25760;31160
12067;Oder-Spree;31050;4910;36230;54760
12068;Ostprignitz-Ruppin;24260;1630;18390;23630
12069;Potsdam-Mittelmark;25490;6170;44920;77960
12070;Prignitz;16800;2010;14800;19720
12071;Spree-Neiße;21930;3850;23250;35420
12072;Teltow-Fläming;25990;4390;42130;53630
12073;Uckermark;29740;2780;20070;25890
13001;Greifswald, Hansestadt;19190;1250;13930;5840
13002;Neubrandenburg, Stadt;23900;970;17760;5960
13003;Rostock, Hansestadt;73010;3420;36410;19520
13004;Schwerin, Landeshauptstadt;31990;1850;26340;9960
13005;Stralsund, Hansestadt;18400;930;14180;5440
13006;Wismar, Hansestadt;12270;460;9360;5680
13051;Bad Doberan;12030;3360;25820;45560
13052;Demmin;12140;2130;15340;20340
13053;Güstrow;16980;2240;19850;26200
13054;Ludwigslust;17760;3540;29160;42900
13055;Mecklenburg-Strelitz;12140;2090;11650;22770
13056;Müritz;13490;1390;13710;16650
13057;Nordvorpommern;16510;1880;18590;31990
13058;Nordwestmecklenburg;12440;2560;20280;44210
13059;Ostvorpommern;15460;2270;19600;32410
13060;Parchim;13830;2260;18360;31940
13061;Rügen;14380;1320;15010;18230
13062;Uecker-Randow;11260;1930;17210;17420
14511;Chemnitz, Stadt;80860;7310;52430;24680
14521;Erzgebirgskreis;60600;9910;81890;110370
14522;Mittelsachsen;54370;9270;80130;98600
14523;Vogtlandkreis;46080;5770;53720;64700
14524;Zwickau;65940;8080;84170;90590
14612;Dresden, Stadt;197890;16220;85830;49380
14625;Bautzen;52010;8070;75460;96430
14626;Görlitz;51320;6930;56690;67670
14627;Meißen;41500;8470;61780;73640
14628;Sächsische Schweiz-Osterzgebirge;38220;7080;52270;79030
14713;Leipzig, Stadt;178910;18230;87980;49700
14729;Leipzig;39280;6640;55350;87120
14730;Nordsachsen;34560;6030;51240;61180
15001;Dessau-Roßlau, Stadt;26700;2520;14040;9840
15002;Halle (Saale), Stadt;71100;5840;43160;25830
15003;Magdeburg, Landeshauptstadt;77260;10200;47080;23900
15081;Altmarkkreis Salzwedel;21080;2040;12920;22140
15082;Anhalt-Bitterfeld;34120;3420;34350;44930
15083;Börde;27580;3880;39010;61860
15084;Burgenlandkreis;35520;4300;34410;50000
15085;Harz;46280;6610;38700;55610
15086;Jerichower Land;17180;3200;16300;26290
15087;Mansfeld-Südharz;23970;4750;25140;37920
15088;Saalekreis;26140;5170;48630;65240
15089;Salzlandkreis;42040;4340;34450;48420
15090;Stendal;24600;6450;17900;24910
15091;Wittenberg;31010;3470;18830;29830
16051;Erfurt, Stadt;74970;5900;44230;21790
16052;Gera, Stadt;30320;2430;15970;14150
16053;Jena, Stadt;39740;2360;25490;10450
16054;Suhl, Stadt;11380;830;9740;6980
16055;Weimar, Stadt;18200;3010;12840;9740
16056;Eisenach, Stadt;13130;1330;14000;6400
16061;Eichsfeld;14330;2430;21550;36890
16062;Nordhausen;16400;1930;18240;22970
16063;Wartburgkreis;16730;4120;31770;47970
16064;Unstrut-Hainich-Kreis;19970;2710;21940;29920
16065;Kyffhäuserkreis;14140;2240;15260;20690
16066;Schmalkalden-Meiningen;21190;4880;32280;42300
16067;Gotha;23250;5880;35040;41590
16068;Sömmerda;9040;2620;16340;25430
16069;Hildburghausen;9430;1390;15140;25110
16070;Ilm-Kreis;19000;2970;29370;33260
16071;Weimarer Land;12440;2660;18570;28830
16072;Sonneberg;11490;1620;13790;18800
16073;Saalfeld-Rudolstadt;20850;3530;25780;34150
16074;Saale-Holzland-Kreis;10680;2420;23050;32030
16075;Saale-Orla-Kreis;14460;3010;24790;27890
16076;Greiz;15950;4070;21620;32890
16077;Altenburger Land;16030;1650;21020;28030
